time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,33,13,0,0
2026-06-13 00:00:00+00:00,25,8,0,0
2026-06-14 00:00:00+00:00,32,9,0,0
2026-06-15 00:00:00+00:00,28,8,0,0
2026-06-16 00:00:00+00:00,3,3,0,0
2026-06-17 00:00:00+00:00,11,6,0,0
2026-06-18 00:00:00+00:00,45,16,0,0
2026-06-19 00:00:00+00:00,52,19,0,0
2026-06-20 00:00:00+00:00,27,10,0,0
2026-06-21 00:00:00+00:00,44,12,0,0
2026-06-22 00:00:00+00:00,47,13,0,0
2026-06-23 00:00:00+00:00,48,11,0,0
2026-06-24 00:00:00+00:00,30,10,0,0
2026-06-25 00:00:00+00:00,16,4,0,0
